sex,species_id,mean_length
,DM,38.285714285714285
,DO,50.666666666666664
,DS,120
,NL,167.6875
,OL,29
,OT,21.2
,PB,30.6
,PE,17.666666666666668
,PF,6
,PI,18
,PL,25
,PM,20.25
,PP,14.6
,RM,11.083333333333334
,SF,40.5
,SH,130
F,BA,9.161290322580646
F,DM,41.60968468468469
F,DO,48.53125
F,DS,117.749547920434
F,NL,154.28220858895705
F,OL,31.065817409766453
F,OT,24.830903790087465
F,OX,21
F,PB,30.210884353741495
F,PE,22.822183098591548
F,PF,7.974393530997305
F,PH,30.85
F,PL,19.3125
F,PM,22.12566844919786
F,PP,17.180669614655717
F,PX,20
F,RF,13.68421052631579
F,RM,11.102195945945946
F,RO,11
F,SF,69
F,SH,78.75641025641026
F,SO,55.32258064516129
F,SS,57
M,BA,7.357142857142857
M,DM,44.353133608815426
M,DO,49.135101789019124
M,DS,122.29098360655738
M,NL,165.65289256198346
M,OL,32.06841046277666
M,OT,23.69538188277087
M,OX,21
M,PB,33.81649831649832
M,PE,20.58490566037736
M,PF,7.885286783042394
M,PH,31.454545454545453
M,PI,19.428571428571427
M,PL,18.68421052631579
M,PM,20.801204819277107
M,PP,17.18448637316562
M,PX,18
M,RF,12.444444444444445
M,RM,10.123226288274832
M,RO,9.5
M,RX,15.5
M,SF,53.43478260869565
M,SH,65.1774193548387
M,SO,55.7
M,SS,130
